# scannet_det_train_32frames_bi1.json	118184 rows	model=Qwen/Qwen3-VL-4B-Instruct
# scene	n_boxes	input_ids
scene0191_00	9	13801
scene0191_00	9	13800
scene0191_00	9	13797
scene0191_00	9	13797
scene0191_00	9	13797
scene0191_00	7	13668
scene0191_00	7	13669
scene0191_00	8	13735
scene0191_00	8	13734
scene0191_00	7	13668
scene0191_00	7	13672
scene0191_00	6	13602
scene0191_00	5	13534
scene0191_00	5	13532
scene0191_00	5	13533
scene0191_00	6	13602
scene0191_00	6	13602
scene0191_00	6	13599
scene0191_00	6	13601
scene0191_00	6	13600
scene0191_00	8	13733
scene0191_00	9	13798
scene0191_00	10	13868
scene0191_00	10	13867
scene0191_00	10	13865
scene0191_00	11	13933
scene0191_00	12	14000
scene0191_00	12	13996
scene0191_00	12	14000
scene0191_00	12	14001
scene0191_00	12	13997
scene0191_00	12	13996
scene0191_00	12	14002
scene0191_00	12	13999
scene0191_00	12	14005
scene0191_00	12	13997
scene0191_00	12	14000
scene0191_00	12	13999
scene0191_00	12	13994
scene0191_00	12	13993
scene0191_00	11	13930
scene0191_00	11	13938
scene0191_00	11	13934
scene0191_00	11	13928
scene0191_00	11	13930
scene0191_00	11	13932
scene0191_00	11	13931
scene0191_00	11	13929
scene0191_00	11	13939
scene0191_00	12	14002
scene0191_00	11	13935
scene0191_00	11	13935
scene0191_00	11	13935
scene0191_00	11	13932
scene0191_00	11	13937
scene0191_00	11	13936
scene0191_00	10	13872
scene0191_00	10	13860
scene0191_00	9	13803
scene0191_00	9	13802
scene0191_00	9	13804
scene0191_00	9	13799
scene0191_00	9	13804
scene0191_00	8	13735
scene0191_00	8	13734
scene0191_00	7	13670
scene0191_00	7	13669
scene0191_00	7	13670
scene0191_00	7	13664
scene0191_00	7	13667
scene0191_00	7	13667
scene0191_00	7	13661
scene0191_00	7	13669
scene0191_00	7	13665
scene0191_00	7	13671
scene0191_00	7	13669
scene0191_00	7	13669
scene0191_00	7	13665
scene0191_01	13	14060
scene0191_01	13	14067
scene0191_01	13	14059
scene0191_01	13	14069
scene0191_01	13	14066
scene0191_01	14	14122
